name,brand,descrizione,image_url
DETERSIVO BELBUCATO AGRUMOSO,Marbec,"Detergente liquido per il bucato. Grazie alla sua formula avanzata, questo detergente offre un'azione pulente eccezionale, eliminando le macchie più ostinate anche a basse temperature. Lascia sui tuoi capi un gradevole profumo fresco e agrumato, rendendo ogni lavaggio un'esperienza piacevole.",/images/marbec_products/DETERSIVOBELBUCATOAGRUMOSO.webp
DETERSIVO BELBUCATO FLOREALE,Marbec,"Detergente liquido per il bucato. Grazie alla sua formula avanzata, questo detergente offre un'azione pulente eccezionale, eliminando le macchie più ostinate anche a basse temperature. Lascia sui tuoi capi un gradevole profumo fresco e pulito, rendendo ogni lavaggio un'esperienza piacevole.",/images/marbec_products/DETERSIVOBELBUCATOFLOREALE.webp
ROBOPARQUET,Marbec,"Detersivo concentrato a bassa schiuma per pavimenti in legno e parquet, ideale per robot lavapavimenti. Pulisce a fondo, asciuga rapidamente senza rovinare materiali ed elettrodomestici.",/images/marbec_products/ROBOPARQUET.webp
KIT CRISTALLI DOCCIA,Marbec,"Il KIT CRISTALLI DOCCIA rimuove efficacemente le macchie di calcare sui vetri del box doccia, comuni in aree con acqua ricca di minerali. Rende i vetri splendenti e privi di residui. Include detergenti specifici e tamponi di alta qualità per pulire senza graffi, ripristinando la lucentezza originale e prolungando la durata dei cristalli.",/images/marbec_products/KITCRISTALLIDOCCIA.webp
TUBO RIEMPIMENTO SECCHI,Marbec,Ideale per riempire comodamente secchi d'acqua,/images/marbec_products/TUBORIEMPIMENTOSECCHI.webp
SPONGICLEAN,Marbec,"Spugna micro-abrasiva per la rimozione di incrostazioni di calcare tenaci dalle superfici in vetro, ceramica e metalli satinati.",/images/marbec_products/SPONGICLEAN.webp
PULISCI TENDE,Marbec,"Detergente smacchiante specifico per la pulizia di tutti i tessuti di tende e gazebo in esterno. Rimuove sporco, muffe, smog, salsedine ed escrementi dai tessuti senza danneggiarli.",/images/marbec_products/PULISCITENDE.webp
ROBONETTO,Marbec,"Detersivo pavimenti concentrato a bassa schiumosità per pulizia con robot lavapavimenti. Pulisce a fondo, asciuga rapidamente senza rovinare materiali ed elettrodomestici.",/images/marbec_products/ROBONETTO.webp
DISCO DIAM 125MM,Marbec,"I DISCHI DIAM 125MM MARBEC usati in combinazione nelle quattro colorazioni sono ideali per il recupero e la rilucidatura di marmi e agglomerati cementizi lucidi (graniglie, palladiane, ecc.), che sono stati fortemente danneggiati da sostanze acide (corrosioni), opacizzati dall’uso o da accumulo di calcare o che presentano graffi.",/images/marbec_products/DISCODIAM125MM.webp
PAD DIAM 125MM,Marbec,"I PAD DIAM 125MM MARBEC usati in combinazione nelle tre colorazioni sono ideali per il rinnovo di marmi e agglomerati cementizi lucidi (graniglie, palladiane, ecc.), che sono stati lievemente danneggiati da sostanze acide (corrosioni) od opacizzati dall’uso o da accumulo di calcare o che presentano micrograffi superficiali.",/images/marbec_products/PADDIAM125MM.webp
GUANTO PER VETRI IN MICROFIBRA,Filmop,"Il Guanto per Vetri in Microfibra è utilizzato per la pulizia manuale dei vetri. Consente la rimozione completa di polvere e sporco, assicurando una pulizia profonda ed efficace.",/images/marbec_products/GUANTOPERVETRIINMICROFIBRA.webp
GUANTO PER SPOLVERO IN MICROFIBRA,Filmop,"Il Guanto per Spolvero in Microfibra è utilizzato per la pulizia manuale di tutte le superfici. Consente la rimozione completa di polvere e sporco, assicurando una pulizia efficace.",/images/marbec_products/GUANTOPERSPOLVEROINMICROFIBRA.webp
PLATORELLO MARBEC 125MM,Marbec,"Platorello 125mm con attacco a velcro per trapano e avvitatore. Abbinato ai PAD MARBEC si utlizza per la levigatura e lucidatura del marmo, pietra e agglomerato lucido.",/images/marbec_products/PLATORELLOMARBEC125MM.webp
KIT RECUPERO LEGNO VERNICIATO OPACO,Marbec,"Il KIT RECUPERO LEGNO VERNICIATO OPACO rappresenta una soluzione completa ed efficace per il recupero fai da te  delle superfici in legno verniciato opaco usurate dal tempo e usura. Progettato per ridare tono e migliorare l'estetica dei pavimenti, il kit garantisce una finitura opaca duratura e una resistenza superiore ai lavaggi e all'usura quotidiana.",/images/marbec_products/KITRECUPEROLEGNOVERNICIATOOPACO.webp
KIT RECUPERO LEGNO VERNICIATO LUCIDO,Marbec,"Il KIT RECUPERO LEGNO VERNICIATO LUCIDO rappresenta una soluzione completa ed efficace per il recupero fai da te  delle superfici in legno verniciato lucido usurate dal tempo e usura. Progettato per ridare tono e migliorare l'estetica dei pavimenti, il kit garantisce una finitura lucida brillante duratura e una resistenza superiore ai lavaggi e all'usura quotidiana.",/images/marbec_products/KITRECUPEROLEGNOVERNICIATOLUCIDO.webp
DISINKROSTO WC,Marbec,"Detersivo acido tamponato in gel per WC e cassette incasso: aderisce alle superfici verticali, rimuove calcare, ruggine e residui organici. Dotato di irroratore per raggiungere i punti più nascosti.",/images/marbec_products/DISINKROSTOWC.webp
RE-CRYSTALBOX GR250,Marbec,"Crema rilucidante per i cristalli di box doccia, vetri e specchi lucidi. Pulisce, sgrassa, lucida e rimuove gli aloni e tracce di calcare di difficile rimozione. Rinnova le superfici in vetro e cristallo.",/images/marbec_products/RE-CRYSTALBOXGR250.webp
SPOT LESS,Marbec,"Detersivo specifico per la pulizia di indumenti da lavoro professionali (es. tute, grembiuli, vestaglie) fortemente macchiati anche da grasso e lubrificanti.",/images/marbec_products/SPOTLESS.webp
MONOVASCA SPIDER CON SEPARATORE,Filmop,Monovasca utilizzato per il lavaggio professionale dei pavimenti di piccoli ambienti.,/images/marbec_products/MONOVASCASPIDERCONSEPARATORE.webp
PANNO ENERGY-FUR CON ALETTE PER TELAIO EASY WASH,Filmop,"Panno in microfibra con micro alette che permettono un aggancio facile, veloce e sicuro al telaio EASY WASH. Ideale per tutte le superfici liscie con grado di sporco medio.",/images/marbec_products/PANNOENERGY-FURCONALETTEPERTELAIOEASYWASH.webp
MONO-TEX 10 PANNI PER SISTEMA A STRAPPO,Filmop,"Panni in microfibra ideali per combattere la contaminazione crociata e mantenere un alto standard d'igiene, rendendo semplice il metodo di pulizia che prevede l'utilizzo di un panno sempre pulito per ogni stanza.",/images/marbec_products/MONO-TEX10PANNIPERSISTEMAASTRAPPO.webp
PANNO SPEEDY PULI-SCRUB CON ALETTE,Filmop,"Panno SPEEDY PULI-SCRUB in ultra-microfibra e polipropilene, supporto in tela poliestere, con alette a 2 fori ed con etichetta colour code. Ideale per lo scrub e il lavaggio di superfici antiscivolo e cotto naturale con grado di sporco medio, caratterizzato da aderenza (hotel, case, uffici, ospedali, ecc). Ideale per la pulizia di angoli e pareti verticali.",/images/marbec_products/PANNOSPEEDYPULI-SCRUBCONALETTE.webp
TAMPONE MAGICO IN MELAMINA,Marbec,"Spugna per la pulizia delle superfici microporose quali: ceramica, marmo, cotto, gres porcellanato, legno, cemento lucido e rivestito, piastrelle in vinile. Può essere utilizzato anche su granito, pavimentazioni plastiche e linoleum.",/images/marbec_products/TAMPONEMAGICOINMELAMINA.webp
BEAUTY FLOOR OPACO,Marbec,"Cera di manutenzione per pavimenti in legno verniciato opaco. Protegge, ravviva e conserva nel tempo la superficie ed il trattamento iniziale.",/images/marbec_products/BEAUTYFLOOROPACO.webp
DISCO IN MELAMINA,Marbec,"Disco per la pulizia delle superfici microporose quali: ceramica, marmo, cotto, gres porcellnato, cemento lucido e rivestito, piastrelle in vinile. Può essere utilizzato anche su granito, pavimentazioni plastiche e linoleum.",/images/marbec_products/DISCOINMELAMINA.webp
ATTACCO PER DISCHI DI MONOSPAZZOLE IN ACCIAIO,Marbec,Attacco per dischi di monospazzole in acciaio con diametro 166mm - diametro utile 111mm per macchine ghibli wirbel,/images/marbec_products/ATTACCOPERDISCHIDIMONOSPAZZOLEINACCIAIO.webp
KIT DI MANUTENZIONE COTTO E PIETRA ESTERNI,Marbec,"Il KIT DI MANUTENZIONE COTTO E PIETRA ESTERNI è ideale per mantenere la bellezza e durabilità delle superfici esterne in cotto, pietra e agglomerati cementizi trattati con impregnanti idro-oleorepellenti e cere protettive. Facilita la rimozione dello sporco ostinato, previene l'usura da agenti atmosferici e garantisce superfici pulite e protette per anni.",/images/marbec_products/KITDIMANUTENZIONECOTTOEPIETRAESTERNI.webp
KIT FORNO E BARBECUE,Marbec,"Il KIT FORNO E BARBECUE è ideale per mantenere forni e barbecue impeccabili. Progettato per una pulizia profonda, elimina lo sporco ostinato, residui carbonizzati e grasso.",/images/marbec_products/KITFORNOEBARBECUE.webp
KIT MANUTENZIONE BAGNO,Marbec,"Il KIT PULIZIA E MANUTENZIONE BAGNO rappresenta una soluzione completa e pratica per mantenere il vostro bagno sempre pulito e in perfetto stato. Questo kit è stato progettato per affrontare le sfide quotidiane della pulizia disincrostante e della manutenzione ordinaria, offrendo prodotti specifici per ogni necessità.",/images/marbec_products/KITMANUTENZIONEBAGNO.webp
TAMPONE PER FORNO,Marbec,"Specifico per lo sporco più tenace su forni, grill, barbecue, pentole, tegami, pirofile e convettori.",/images/marbec_products/TAMPONEPERFORNO.webp
TAMPONE ABRASIVO PER LEGNO,Marbec,Specifico per rimuovere le sfibrature del legno nelle fasi di lavorazione.,/images/marbec_products/TAMPONEABRASIVOPERLEGNO.webp
KIT PULIZIA PRONTO CASA,Marbec,"KIT PULIZIA PRONTO CASA è una soluzione completa e altamente efficace per la manutenzione quotidiana delle superfici domestiche, particolarmente adatta per bagno e cucina. Questo kit include una selezione di prodotti specificamente formulati per affrontare con efficienza le sfide della pulizia ordinaria.",/images/marbec_products/KITPULIZIAPRONTOCASA.webp
KIT DI MANUTENZIONE COTTO E PIETRA INTERNI CERATI OPACHI,Marbec,"Il KIT DI MANUTENZIONE COTTO E PIETRA INTERNI CERATI OPACHI è la soluzione ideale per mantenere le superfici in cotto, pietra e agglomerati cementizi con finitura cerosa opaca sempre perfette. Questo kit completo offre tutto ciò che serve per una pulizia e manutenzione efficaci, prolungando la bellezza e la protezione delle superfici interne.",/images/marbec_products/KITDIMANUTENZIONECOTTOEPIETRAINTERNICERATIOPACHI.webp
DISCO IN LANA DI ACCIAIO INOX 432mm – 17in,Marbec,Disque abrasif en laine d’acier pour le polissage de marbres ou cristallisants avec monospazzole et lavasciuga. Diamètre 432 MM - 17,/images/marbec_products/DISCOINLANADIACCIAIOINOX432mm17in.webp
SPUGNA MAGICA,Marbec,"Spugna pulente multiuso per tutte le superfici. Abbinata ai detergenti Marbec, elimina tutto lo sporco.",/images/marbec_products/SPUGNAMAGICA.webp
PANNO SKILL-FUR CON ATTACCO VELCRO,Filmop,Ideale per tutte le superfici lisce o ruvide con grado di sporco medio. La bordatura anti-urto garantisce una maggiore protezione per battiscopa e pareti. Da utilizzare con tutti gli attrezzi con profili per sistema a velcro.,/images/marbec_products/PANNOSKILL-FURCONATTACCOVELCRO.webp
TOP CLEAN TELAIO CON IMPUGNATURA MANUALE,Filmop,"Telaio utilizzato nel sistema Top Clean per la pulizia di tavoli di mense, bar, cucine, ristoranti, scuole (consigliato anche per la pulizia delle lavagne) e per la pulizia di vetri interni, specchi, superfici in acciaio inox e tutte le superfici lisce verticali.",/images/marbec_products/TOPCLEANTELAIOCONIMPUGNATURAMANUALE.webp
EASY WASH TELAIO IN PLASTICA,Filmop,Indicato per il lavaggio semi-professionale di superfici in piccoli ambienti.,/images/marbec_products/EASYWASHTELAIOINPLASTICA.webp
PANNO SMART-FUR CON ATTACCO A VELCRO,Filmop,"Panno in microfibra con sistema a velcro, con etichetta colour code. Ideale anche per applicare le cere liquide.",/images/marbec_products/PANNOSMART-FURCONATTACCOAVELCRO.webp
SECCHIO TWIN DOPPIO,Filmop,"Secchio multiuso utilizzabile per il trasporto degli attrezzi di lavoro, per il lavaggio dei vetri con l'aggiunta di una griglia strizzavello e per il lavaggio dei pavimenti con l'aggiunta di uno strizzino.",/images/marbec_products/SECCHIOTWINDOPPIO.webp
Raschietto pavimenti con manico in ferro,Marbec,Consigliato per raschiare i pavimenti.,/images/marbec_products/Raschiettopavimenticonmanicoinferro.webp
PANNO PULI-SCRUB CON ATTACCO A VELCRO,Filmop,Panno con etichetta colour code. Ideale per tutte le superfici ruvide con grado di sporco medio-alto.,/images/marbec_products/PANNOPULI-SCRUBCONATTACCOAVELCRO.webp
PANNO SPEEDY MICRO-ACTIVA CON ALETTE,Filmop,"Ideale per tutte le superfici lisce con grado di sporco medio. Utilizzato con il telaio per lo spolvero, il lavaggio, la ceratura e la disinfezione di pavimenti lisci interni (hotel, case, uffici, ospedali) con grado di sporco medio-basso.",/images/marbec_products/PANNOSPEEDYMICRO-ACTIVACONALETTE.webp
PANNO STEEL-T,Filmop,"Panno per superfici lucide, acciaio cromato, ceramica. Lucida e rimuove il calcare, sgrassante.",/images/marbec_products/PANNOSTEEL-T.webp
MANICO PROFESSIONALE IN ALLUMINIO TELESCOPICO,Filmop,"Manico professionale in alluminio, allungabile 87-184 cm",/images/marbec_products/MANICOPROFESSIONALEINALLUMINIOTELESCOPICO.webp
LAME DI RICAMBIO 10 PEZZI,Filmop,Lame ricambio per raschietto per la pulizia dei pavimenti,/images/marbec_products/LAMEDIRICAMBIO10PEZZI.webp
KIT BRILLIANT PLUS,Filmop,"Kit per superfici lucide, anche in altezza. Ideale per vetri, specchi, superfici in laminato, acciaio, ante laccate e porte verniciate.",/images/marbec_products/KITBRILLIANTPLUS.webp
KIT DROP,Filmop,"Manico serbatoio capacità 500 ml con piastra in alluminio con profili per sistema a velcro 40 cm, panno bordato in microfibra Skill-Fur e caraffa. Da utilizzare per il lavaggio dei pavimenti negli ambienti domestici e medio-piccoli quali uffici, bar, piccoli negozi, ecc.",/images/marbec_products/KITDROP.webp
PANNO IN MICROFIBRA MICRO-ACTIVA CON ATTACCO A VELCRO,Filmop,"Ideale per tutte le superfici liscie con grado di sporco medio. Utilizzato con tutti gli attrezzi con profili per sistema a velcro per lo spolvero, il lavaggio, la ceratura e la disinfezione di pavimenti lisci interni (hotel, case, uffici, ospedali) con grado di sporco medio-basso.",/images/marbec_products/PANNOINMICROFIBRAMICRO-ACTIVACONATTACCOAVELCRO.webp
MANICO PROFESSIONALE PER LA PULIZIA DEI PAVIMENTI,Marbec,"Manico in alluminio anodizzato leggero e inossidabile, studiato per ridurre l'affaticamento nell'utilizzo professionale e domestico.",/images/marbec_products/MANICOPROFESSIONALEPERLAPULIZIADEIPAVIMENTI.webp
CARRELLO PER LA PULIZIA PROFESSIONALE ONEFRED,Filmop,Carrello utilizzato per il lavaggio pavimenti di grandi ambienti.,/images/marbec_products/CARRELLOPERLAPULIZIAPROFESSIONALEONEFRED.webp
TELAIO PER LA PULIZIA DELLE VETRATE,Filmop,"Attrezzo professionale di larghezza 30 cm per panni con profili per sistema a velcro con bocchettone Lock System,  utilizzato per il lavaggio di superfici verticali (vetri interni, specchi, superfici in acciaio inox, ante laccate, porte verniciate) con il sistema Brilliant.",/images/marbec_products/TELAIOPERLAPULIZIADELLEVETRATE.webp
TELAIO SNODATO PER LA PULIZIA CON SISTEMA A VELCRO,Filmop,"Telaio utilizzabile con frange con sistema a velcro per il lavaggio e la disinfezione di pavimenti, con fibre abrasive per la rimozione di eventuali incrostazioni e con spugna e relativi panni impregnati monouso per la scopatura ad umido.",/images/marbec_products/TELAIOSNODATOPERLAPULIZIACONSISTEMAAVELCRO.webp
CARRELLO SPANDICERA,Filmop,Accessorio professionale consigliato per le imprese del settore per l'applicazione di cere e protettivi,/images/marbec_products/CARRELLOSPANDICERA.webp
UNILAV SIDE GRIP ATTREZZO SPANDICERA,Filmop,"Attrezzo spandicera con flacone da 1lt, piastra Rapido 40cm e ricambio in microfibra Smart-Fur. Ideale per l'inceratura dei pavimenti.",/images/marbec_products/UNILAVSIDEGRIPATTREZZOSPANDICERA.webp
FUGINATOR spazzola per fughe,Filmop,Ideale per la pulizia delle fughe in tutti gli ambienti. Adatta per la pulizia di giunti anche molto stretti. Facilita la rimozione della muffa.,/images/marbec_products/FUGINATORspazzolaperfughe.webp
KIT EASY WASH,Filmop,"Secchio 15 lt completo di strizzino, telaio e ricambio. Indicato per il lavaggio semi-professionale di superfici in piccoli ambienti.",/images/marbec_products/KITEASYWASH.webp
RICAMBIO VELLO SPANDICERA,Filmop,Ricambio vello spandicera 35 cm,/images/marbec_products/RICAMBIOVELLOSPANDICERA.webp
SANI-KAL BIO,Marbec,"Detergente a base di acidi naturali per la pulizia disincrostante di bagni, cucine, rubinetterie, sanitari. Lascia le superfici pulite, lucide e brillanti.",/images/marbec_products/SANI-KALBIO.webp
KIT PULIZIA GRES PORCELLANATO,Marbec,"Il KIT PULIZIA GRES PORCELLANATO è la soluzione ideale per mantenere le vostre superfici in gres porcellanato impeccabili. Questo materiale, sebbene resistente, può presentare macchie se non pulito correttamente. Le patine resinose lasciate dalla posa o dai detergenti inadatti o dal calcare dell'acqua sono tra le cause principali di opacità indesiderate. Il nostro kit è studiato per rimuovere efficacemente queste patine, garantendo una pulizia profonda senza danneggiare la superficie.",/images/marbec_products/KITPULIZIAGRESPORCELLANATO.webp
GRES BRILL,Marbec,"Detersivo concentrato anticalcare per pavimenti in gres porcellanato lucido e materiali ceramici. Pulisce, igienizza e rimuove lo sporco, gli aloni e le patine calcaree dovute all'acqua domestica.",/images/marbec_products/GRESBRILL.webp
DISCO IN NYLON PER MONOSPAZZOLA,Marbec,Disco per monospazzola o macchina lavasciuga ideale per il risciacquo dei pavimenti.,/images/marbec_products/DISCOINNYLONPERMONOSPAZZOLA.webp
DISCO PRELUX,Marbec,"Disco diamantato per monospazzola e pre-lucidatura di pavimenti. Per la pre-lucidatura di superfici opacizzate, usurate, corrose e micro-graffiate in pietra naturale (marmi, travertini, graniti), gres, cemento, graniglia e materiali compositi.",/images/marbec_products/DISCOPRELUX.webp
OLIO RAVVIVANTE,Marbec,"Olio impregnante specifico per il recupero d'infissi e serramenti in legno oliato o verniciato, alluminio verniciato o ferro battuto deteriorati, ingrigiti o sbiancati dal sole. Restaura la superficie ridonando un nuovo aspetto più curato.",/images/marbec_products/OLIORAVVIVANTE.webp
METALUX,Marbec,"Crema che pulisce, sgrassa e lucida le superfici in rame, bronzo, ottone, acciaio, cromo, argento. È facile e sicura nell'utilizzo e non lascia aloni sulle superfici.",/images/marbec_products/METALUX.webp
DETERCLEAN,Marbec,"Detersivo per la pulizia ordinaria e/o straordinaria delle superfici in legno. Pulisce, sgrassa e igienizza senza aggredire i materiali. Non contiene profumi e solventi.",/images/marbec_products/DETERCLEAN.webp
DISCO TYNEX PER MONOSPAZZOLA 432 MM | Super abrasione,Marbec,Disco per monospazzola con una super abrasione ideale per la pulizia dopo-posa di pavimenti in cotto fatto a mano o di superfici molto ruvide.,/images/marbec_products/DISCOTYNEXPERMONOSPAZZOLA432MMSuperabrasione.webp
PULI FUMO,Marbec,"Detergente sgrassatore per la pulizia ordinaria di forni da cucina, barbecue, grill, vetri di caminetti e stufe, pentole e pirofile dai residui carboniosi, sostanze grasse e fuliggine.",/images/marbec_products/PULIFUMO.webp
DISCO IN TAMPICO PER MONOSPAZZOLA,Marbec,Il DISCO IN TAMPICO per monospazzola è impiegato per la lucidatura delle superfici in cotto e legno con l'uso di cere in pasta. Consente di lavorare pezzi molto sagomati e ottenere una particolare finitura semi-lucida.,/images/marbec_products/DISCOINTAMPICOPERMONOSPAZZOLA.webp
SPAZZOLA CON MANICO CORTO BLU,Filmop,SPAZZOLA con manico corto blu FILMOP - Spazzola utilizzata per la pulizia straordinaria delle superficie ruvide e per l'applicazione delle cere in pasta.,/images/marbec_products/SPAZZOLACONMANICOCORTOBLU.webp
PULI ECO,Marbec,"Detersivo sgrassatore multiuso per la pulizia quotidiana di tutte superfici, ideale per quelle a contatto con i cibi: piani cottura, tavoli, frigoriferi, forni a microonde e ripiani.",/images/marbec_products/PULIECO.webp
SHOWER BRILL,Marbec,"Detergente protettivo anticalcare per mantenere le superfici dei bagni pulite e brillanti nel tempo. Rimuove residui di calcare e forma una protezione invisibile che li previene, garantendo una pulizia e protezione duratura ed efficace.",/images/marbec_products/SHOWERBRILL.webp
PULI FUGHE,Marbec,Detersivo intesivo sgrassante per la pulizia di fondo sbiancante delle fughe cementizie o sintetiche di pavimenti e rivestimenti ceramici e materiali lapidei non trattati.,/images/marbec_products/PULIFUGHE.webp
SANI-KAL FORTE,Marbec,"Detergente disincrostante forte per superfici tenacemente incrostate da depositi di calcare, urina, residui di sapone e macchie di ruggine. Lascia le superfici pulite, lucide e brillanti.",/images/marbec_products/SANI-KALFORTE.webp
PULI MUFFE,Marbec,"Detergente per la pulizia di pareti, intonaci, rivestimenti, box doccia. Aiuta la rimozione e la disincrostazione di annerimenti causati da residui organici.",/images/marbec_products/PULIMUFFE.webp
PULI TEX,Marbec,"Detergente per la pulizia e rimozione dello sporco e delle macchie dai tessuti da tappezzeria come divani, tappeti, moquette, tappezzerie auto e eco-pelle.",/images/marbec_products/PULITEX.webp
PULI FORNO,Marbec,"Detergente sgrassatore e disincrostante forte in gel specifico per la pulizia straordinaria di sostanze grasse, croste, residui carboniosi e nerofumo di difficile rimozione da forni, barbecue, pentole e pirofile.",/images/marbec_products/PULIFORNO.webp
NANO GLASS,Marbec,"Prodotto nano-tecnologico per il trattamento antisporco delle superfici in vetro. Rende le superfici in vetro meno sporcabili e facilita la rimozione dello sporco, riducendo e velocizzando gli interventi di pulizia",/images/marbec_products/NANOGLASS.webp
CREAM INOX,Marbec,"Crema che pulisce, sgrassa e lucida le superfici in acciaio inox e alluminio opacizzate, rovinate dall'uso. È facile e sicura nell'utilizzo e non lascia aloni sulle superfici.",/images/marbec_products/CREAMINOX.webp
